"class","class_full","comment","added_attributes","added_attributes_full","commentdelatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo:Fund","http://data.europa.eu/a4g/ontology#Fund","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:Fund","http://data.europa.eu/a4g/ontology#Fund","","dct:title","http://purl.org/dc/terms/title","","epo:hasTitle","http://data.europa.eu/a4g/ontology#hasTitle","","3.1.0","4.0.0-rc.1"
"epo:GreenProcurement","http://data.europa.eu/a4g/ontology#GreenProcurement","","epo:usesCleanVehicleDirective","http://data.europa.eu/a4g/ontology#usesCleanVehicleDirective","","","","","3.1.0","4.0.0-rc.1"
"epo:GreenProcurement","http://data.europa.eu/a4g/ontology#GreenProcurement","","","","","epo:hasTotalVehicles","http://data.europa.eu/a4g/ontology#hasTotalVehicles","","3.1.0","4.0.0-rc.1"
"epo:GreenProcurement","http://data.europa.eu/a4g/ontology#GreenProcurement","","","","","epo:hasZeroEmissionVehicles","http://data.europa.eu/a4g/ontology#hasZeroEmissionVehicles","","3.1.0","4.0.0-rc.1"
"epo:GreenProcurement","http://data.europa.eu/a4g/ontology#GreenProcurement","","","","","epo:hasCleanVehicles","http://data.europa.eu/a4g/ontology#hasCleanVehicles","","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","","","","epo:hasAwardDecisionDate","http://data.europa.eu/a4g/ontology#hasAwardDecisionDate","","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","","","","epo:hasAdditionalNonAwardJustification","http://data.europa.eu/a4g/ontology#hasAdditionalNonAwardJustification","","3.1.0","4.0.0-rc.1"
"epo:NonDisclosureAgreementTerm","http://data.europa.eu/a4g/ontology#NonDisclosureAgreementTerm","","dct:description","http://purl.org/dc/terms/description","","","","","3.1.0","4.0.0-rc.1"
"epo:NonDisclosureAgreementTerm","http://data.europa.eu/a4g/ontology#NonDisclosureAgreementTerm","","epo:isNonDisclosureAgreementRequired","http://data.europa.eu/a4g/ontology#isNonDisclosureAgreementRequired","","","","","3.1.0","4.0.0-rc.1"
"epo:NonPublishedInformation","http://data.europa.eu/a4g/ontology#NonPublishedInformation","","epo:hasAccessibilityDate","http://data.europa.eu/a4g/ontology#hasAccessibilityDate","","","","","3.1.0","4.0.0-rc.1"
"epo:NonPublishedInformation","http://data.europa.eu/a4g/ontology#NonPublishedInformation","","epo:hasConfidentialityJustification","http://data.europa.eu/a4g/ontology#hasConfidentialityJustification","","","","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","epo:hasAdditionalInformation","http://data.europa.eu/a4g/ontology#hasAdditionalInformation","","","","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","epo:hasProcurementDocumentChangeDate","http://data.europa.eu/a4g/ontology#hasProcurementDocumentChangeDate","","","","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","epo:isProcurementDocumentChanged","http://data.europa.eu/a4g/ontology#isProcurementDocumentChanged","","","","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","epo:hasChangeReasonDescription","http://data.europa.eu/a4g/ontology#hasChangeReasonDescription","","","","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation","http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed from epo:NoticeChange","epo:hasChangeDescription","http://data.europa.eu/a4g/ontology#hasChangeDescription","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasOJSIssueNumber","http://data.europa.eu/a4g/ontology#hasOJSIssueNumber","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasOJSType","http://data.europa.eu/a4g/ontology#hasOJSType","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasLongTitle","http://data.europa.eu/a4g/ontology#hasLongTitle","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasNoticePublicationNumber","http://data.europa.eu/a4g/ontology#hasNoticePublicationNumber","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasFormNumber","http://data.europa.eu/a4g/ontology#hasFormNumber","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasEFormsSubtype","http://data.europa.eu/a4g/ontology#hasEFormsSubtype","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasAdditionalInformation","http://data.europa.eu/a4g/ontology#hasAdditionalInformation","","","","","3.1.0","4.0.0-rc.1"
"epo:Notice","http://data.europa.eu/a4g/ontology#Notice","","epo:hasESenderDispatchDate","http://data.europa.eu/a4g/ontology#hasESenderDispatchDate","","","","","3.1.0","4.0.0-rc.1"
"epo:ParticipationConditionsSummary","http://data.europa.eu/a4g/ontology#ParticipationConditionsSummary","","epo:describesObjectiveParticipationRules","http://data.europa.eu/a4g/ontology#describesObjectiveParticipationRules","","","","","3.1.0","4.0.0-rc.1"
