"name","name_full","comment","reference_version","target_version"
"epo:BuyerSideSignatory","http://data.europa.eu/a4g/ontology#BuyerSideSignatory","","3.0.1","3.1.0"
"epo:ContractSignatory","http://data.europa.eu/a4g/ontology#ContractSignatory","","3.0.1","3.1.0"
"epo:ContractorSideSignatory","http://data.europa.eu/a4g/ontology#ContractorSideSignatory","","3.0.1","3.1.0"
"epo:GroupLeader","http://data.europa.eu/a4g/ontology#GroupLeader","","3.0.1","3.1.0"
"epo:InformationProvider","http://data.europa.eu/a4g/ontology#InformationProvider","","3.0.1","3.1.0"
"epo:PrimaryRole","http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"epo:SecondaryRole","http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"epo:TertiaryRole","http://data.europa.eu/a4g/ontology#TertiaryRole","","3.0.1","3.1.0"
