"class","class_full","comment","added_attributes","added_attributes_full","commentaddatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","epo:hasRecurrenceDescription","http://data.europa.eu/a4g/ontology#hasRecurrenceDescription","","","","","3.0.0 beta","3.0.0"
"epo:Lot","http://data.europa.eu/a4g/ontology#Lot","","epo:isRecurrent","http://data.europa.eu/a4g/ontology#isRecurrent","","","","","3.0.0 beta","3.0.0"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","epo:hasAdditionalInformation","http://data.europa.eu/a4g/ontology#hasAdditionalInformation","","","","","3.0.0 beta","3.0.0"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","epo:hasRecurrenceDescription","http://data.europa.eu/a4g/ontology#hasRecurrenceDescription","","","","","3.0.0 beta","3.0.0"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","epo:isCoveredByGPA","http://data.europa.eu/a4g/ontology#isCoveredByGPA","","","","","3.0.0 beta","3.0.0"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","epo:isJointProcurement","http://data.europa.eu/a4g/ontology#isJointProcurement","","","","","3.0.0 beta","3.0.0"
"epo:Procedure","http://data.europa.eu/a4g/ontology#Procedure","","epo:isRecurrent","http://data.europa.eu/a4g/ontology#isRecurrent","","","","","3.0.0 beta","3.0.0"
"epo:Tender","http://data.europa.eu/a4g/ontology#Tender","","epo:isVariant","http://data.europa.eu/a4g/ontology#isVariant","","epo:hasVariant","http://data.europa.eu/a4g/ontology#hasVariant","","3.0.0 beta","3.0.0"
"cpv:Person","http://data.europa.eu/m8g/Person","","person:birthName","http://www.w3.org/ns/person#birthName","","epo:hasBirthFamilyName","http://data.europa.eu/a4g/ontology#hasBirthFamilyName","","3.0.0 beta","3.0.0"
"cpv:Person","http://data.europa.eu/m8g/Person","","cv:birthDate","http://data.europa.eu/m8g/birthDate","","epo:hasDateOfBirth","http://data.europa.eu/a4g/ontology#hasDateOfBirth","","3.0.0 beta","3.0.0"
"cpv:Person","http://data.europa.eu/m8g/Person","","cv:deathDate","http://data.europa.eu/m8g/deathDate","","epo:hasDateOfDeath","http://data.europa.eu/a4g/ontology#hasDateOfDeath","","3.0.0 beta","3.0.0"
"epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","","","","epo:isResponsibleForProcedure","http://data.europa.eu/a4g/ontology#isResponsibleForProcedure","","3.0.0 beta","3.0.0"
"cpov:ContactPoint","","","cpov:email","","","cpov:hasEmail","","","3.0.0 beta","3.0.0"
"cpov:ContactPoint","","","cpov:telephone","","","cpov:hasTelephone","","","3.0.0 beta","3.0.0"
"locn:Address","http://www.w3.org/ns/locn#Address","","locn:adminUnitL1","http://www.w3.org/ns/locn#adminUnitL1","","","","","3.0.0 beta","3.0.0"
"locn:Address","http://www.w3.org/ns/locn#Address","","locn:adminUnitL2","http://www.w3.org/ns/locn#adminUnitL2","","","","","3.0.0 beta","3.0.0"
"locn:Geometry:Class","http://www.w3.org/ns/locn#Geometry","","cv:coordinates","http://data.europa.eu/m8g/coordinates","","locn:coordinates","http://www.w3.org/ns/locn#coordinates","","3.0.0 beta","3.0.0"
"locn:Geometry:Class","http://www.w3.org/ns/locn#Geometry","","cv:latitude","http://data.europa.eu/m8g/latitude","","locn:latitude","http://www.w3.org/ns/locn#latitude","","3.0.0 beta","3.0.0"
"locn:Geometry:Class","http://www.w3.org/ns/locn#Geometry","","locn:longitude","http://www.w3.org/ns/locn#longitude","","cv:longitude","http://data.europa.eu/m8g/longitude","","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTerm","http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","","","","epo:hasBuyerCoverage","http://data.europa.eu/a4g/ontology#hasBuyerCoverage","","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTerm","http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","hasBuyerCategoryDescription","","","renamed","","rom epo:hasFrameworkBuyerCategor","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTerm","http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","","","","epo:hasMaximumNumberOfAwardedTenderers","http://data.europa.eu/a4g/ontology#hasMaximumNumberOfAwardedTenderers","","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTerm","http://data.europa.eu/a4g/ontology#FrameworkAgreementTerm","","epo:hasMaximumParticipantsNumber","http://data.europa.eu/a4g/ontology#hasMaximumParticipantsNumber","","","","","3.0.0 beta","3.0.0"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:hasCrossBorderLaw","http://data.europa.eu/a4g/ontology#hasCrossBorderLaw","","","","","3.0.0 beta","3.0.0"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:isAwardedByCPB","http://data.europa.eu/a4g/ontology#isAwardedByCPB","","","","","3.0.0 beta","3.0.0"
"epo:SubmissionTerm","http://data.europa.eu/a4g/ontology#SubmissionTerm","","epo:hasEAuctionURL","http://data.europa.eu/a4g/ontology#hasEAuctionURL","","","","","3.0.0 beta","3.0.0"
"cccev:InformationConcept","http://creativecommons.org/ns#InformationConcept","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","","","","3.0.0 beta","3.0.0"
"cccev:InformationConcept","http://creativecommons.org/ns#InformationConcept","","epo:hasName","http://data.europa.eu/a4g/ontology#hasName","","","","","3.0.0 beta","3.0.0"
"epo:DynamicPurchaseSystemTechniqueUsage","http://data.europa.eu/a4g/ontology#DynamicPurchaseSystemTechniqueUsage","renamed from epo:DynamicPurchaseSystemTechnique","","","","epo:hasDPSTermination","http://data.europa.eu/a4g/ontology#hasDPSTermination","","3.0.0 beta","3.0.0"
"epo:EAuctionTechniqueUsage","http://data.europa.eu/a4g/ontology#EAuctionTechniqueUsage","renamed from epo:EAuctionTechnique","","","","epo:hasEAuctionURL","http://data.europa.eu/a4g/ontology#hasEAuctionURL","","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTechniqueUsage","http://data.europa.eu/a4g/ontology#FrameworkAgreementTechniqueUsage","renamed from epo:FrameworkAgreementTechnique","","","","epo:hasFrameworkBuyerCategory","http://data.europa.eu/a4g/ontology#hasFrameworkBuyerCategory","","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTechniqueUsage","http://data.europa.eu/a4g/ontology#FrameworkAgreementTechniqueUsage","renamed from epo:FrameworkAgreementTechnique","","","","epo:hasFrameworkDurationJustification","http://data.europa.eu/a4g/ontology#hasFrameworkDurationJustification","","3.0.0 beta","3.0.0"
"epo:FrameworkAgreementTechniqueUsage","http://data.europa.eu/a4g/ontology#FrameworkAgreementTechniqueUsage","renamed from epo:FrameworkAgreementTechnique","","","","epo:hasMaximumParticipantsNumber","http://data.europa.eu/a4g/ontology#hasMaximumParticipantsNumber","","3.0.0 beta","3.0.0"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:hasEUReceivedTenders","http://data.europa.eu/a4g/ontology#hasEUReceivedTenders","","","","","3.0.0 beta","3.0.0"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:hasReceivedNonEUTenders","http://data.europa.eu/a4g/ontology#hasReceivedNonEUTenders","","","","","3.0.0 beta","3.0.0"
"epo:ProcurementProcessInformation","http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","epo:isCompetitionTerminated","http://data.europa.eu/a4g/ontology#isCompetitionTerminated","","","","","3.0.0 beta","3.0.0"
"epo:ProcurementProcessInformation","http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","epo:isDPSTerminated","http://data.europa.eu/a4g/ontology#isDPSTerminated","","","","","3.0.0 beta","3.0.0"
"epo:ProcurementProcessInformation","http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","epo:isToBeRelaunched","http://data.europa.eu/a4g/ontology#isToBeRelaunched","","","","","3.0.0 beta","3.0.0"
