"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://www.w3.org/ns/org#OrganisationGroup","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://www.w3.org/ns/org#Organization","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ReviewTerm","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.0.0 beta","3.0.0"
"http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcurementProcessInformation","","3.0.0 beta","3.0.0"
