"class","comment","added_attributes","comment","deleted_attributes","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#ProcurementElement","","http://data.europa.eu/a4g/ontology#hasDescription","moved from epo:ProcurementObject","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementElement","","http://data.europa.eu/a4g/ontology#hasTitle","moved from epo:ProcurementObject","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#hasAdditionalInformation","moved from epo:Lot","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#hasRecurrenceDescription","moved from epo:Lot","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#isCoveredByGPA","moved from epo:Lot","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#isRecurrent","moved from epo:Lot","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#isSMESuitable","moved from epo:PlannedProcurementPart","","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ProcurementObject","","http://data.europa.eu/a4g/ontology#isUsingEUFunds","moved from epo:PlannedProcurementPart","","","3.0.1","3.1.0"
"http://data.europa.eu/m8g/Person","","http://www.w3.org/ns/person#placeOfBirth","","http://data.europa.eu/m8g/placeOfBirth","","3.0.1","3.1.0"
"http://data.europa.eu/m8g/Person","","http://www.w3.org/ns/person#placeOfDeath","","http://data.europa.eu/m8g/placeOfDeath","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ElementConfidentialityDescription","","http://data.europa.eu/a4g/ontology#hasInstanceReference","","http://data.europa.eu/a4g/ontology#hasClassReference","","3.0.1","3.1.0"
