"subject","comment","predicate","object","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#ParticipationCondition>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PlannedProcurementPart>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementElement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://creativecommons.org/ns#Requirement>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProfessionalSuitabilitySummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#QualificationCriterion>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ProcurementCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ReviewObject>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#QualificationCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#SelectionCriterion>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#QualificationCriterion>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TechnicalAbilitySummary>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Tender>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CatalogueLine>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Line>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Catalogue>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#PostAwardDocument>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ChargeInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#InformationHub>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#ContextSpecificDescription>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PostAwardDocument>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Document>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ProductSpecification>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#PostAwardDocument>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#InformationHub>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderLine>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Line>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#PostAwardDocument>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OriginatorInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#InformationHub>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#InformationHub>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#TaxInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#InformationHub>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderResponseInformation>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#InformationHub>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#OrderResponseLine>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#OrderLine>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PreMarketConsultationNotice>","","<http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf>","<http://data.europa.eu/a4g/ontology#Notice>","3.1.0","4.0.0-rc.1"
