"name","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#ContextSpecificDescription","renamed to epo:ContextDescription","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeChangeInformation","renamed to epo:ChangeInformation","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Certificate","moved to ePO Core module","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#CertificationLabel","moved to ePO Core module","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Certifier","moved to ePO Core module","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#CatalogueFragment","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractModification","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ElementDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ElementModificationDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ElementChangeDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ElementConfidentialityDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeDescription","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#PublicationProvision","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#CatalogueDocument","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#CatalogueUpdateDocument","== eOrderin","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Carrier","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Invoicer","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Beneficiary","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Invoicee","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Ordering","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#PMCNotice","","3.1.0","4.0.0-rc.1"
