"class","added_attributes","deleted_attributes","reference_version","target_version"
"epo-ord:Order","epo:specifiesBuyer → epo:Buyer","epo-ord:isSubmittedByBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo-ord:Order","epo-ord:hasTotalChargeAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:OriginatorInformation","epo-ord:concernsOriginatorRequest → epo:OriginatorRequest","","3.1.0","4.0.0-rc.1"
"epo-ord:OriginatorInformation","generalisation → epo-cat:InformationHub","generalisation → epo:ContextSpecificDescription","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation (renamed from epo-ord:PriceModifierInformation)","generalisation → epo-cat:InformationHub","generalisation → epo:ContextSpecificDescription","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation (renamed from epo-ord:PriceModifierInformation)","epo:isCalculatedOn → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation (renamed from epo-ord:PriceModifierInformation)","epo-ord:hasTaxInformation → epo-ord:TaxInformation","","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation (renamed from epo-ord:PriceModifierInformation)","epo-cat:hasAmount → epo:MonetaryValue","epo-cat:hasFixedAmount → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation (renamed from epo-ord:PriceModifierInformation)","epo-ful:hasAllowanceChargeReason → at-voc-new:allowance-charge-reason","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","epo:isCalculatedOn → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","epo-cat:hasAmount → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","generalisation → epo-cat:InformationHub","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","epo-cat:hasTaxCategory → at-voc-new:tax-category","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","epo-cat:hasTaxScheme → at-voc-new:tax-scheme","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","epo-cat:hasVATCategory → at-voc-new:vat-category","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseInformation","generalisation → epo-cat:InformationHub","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseInformation","epo-ord:isSpecificToOrderResponseLine → epo-ord:OrderResponseLine","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseInformation","epo-ord:hasDeliveryPeriod → epo:Period","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseInformation","epo-ord:hasAcceptanceStatus → at-voc-new:ResponseStatus","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseLine","epo-ord:isSubmittedForOrderLine → epo-ord:OrderLine","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponseLine","generalisation → epo-ord:OrderLine","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","epo-ord:comprisesOrderResponseLine → epo-ord:OrderResponseLine","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","epo-ord:isSubmittedForOrder → epo-ord:Order","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","epo-ord:specifiesOrderResponseInformation → epo-ord:OrderResponseInformation","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","epo-ord:specifiesSeller → epo-ord:Seller","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","epo-ord:specifiesBuyer → epo:Buyer","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","epo-ord:implementsContract → epo:Contract","","3.1.0","4.0.0-rc.1"
"epo-not:CompetitionNotice","epo:announcesLot → epo:Lot","epo-not:announcesLot → epo:Lot","3.1.0","4.0.0-rc.1"
"epo-not:CompetitionNotice","epo:announcesLotGroup → epo:LotGroup","epo-not:announcesLotGroup → epo:LotGroup","3.1.0","4.0.0-rc.1"
"epo-not:CompetitionNotice","epo:announcesRole → epo:AgentInRole","epo-not:announcesRole → epo:AgentInRole","3.1.0","4.0.0-rc.1"
"epo-not:CompetitionNotice","epo:announcesProcedure → epo:Procedure","epo-not:announcesProcedure → epo:Procedure","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:announcesCompletionOfContract → epo:Contract","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToAwardDecision → epo:AwardDecision","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToLot → epo:Lot","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:announcesReviewObject → epo:ReviewObject","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToLotGroupAwardInformation → epo:LotGroupAwardInformation","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToRole → epo:AgentInRole","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToNoticeAwardInformation → epo:NoticeAwardInformation","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:announcesRole → epo:AgentInRole","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToLotGroup → epo:LotGroup","","3.1.0","4.0.0-rc.1"
"epo-not:CompletionNotice","epo:refersToProcedure → epo:Procedure","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToLotGroup → epo:LotGroup","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToContractToBeModified → epo:Contract","epo-not:refersToContractToBeModified → epo:Contract","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToLot → epo:Lot","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:announcesRole → epo:AgentInRole","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToNoticeAwardInformation → epo:NoticeAwardInformation","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToAwardDecision → epo:AwardDecision","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToProcedure → epo:Procedure","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:refersToLotGroupAwardInformation → epo:LotGroupAwardInformation","","3.1.0","4.0.0-rc.1"
"epo-not:ContractModificationNotice","epo:announcesContractAmendment → epo-con:ContractAmendment","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesLotGroupAwardInformation → epo:LotGroupAwardInformation","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesContract → epo:Contract","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesLot → epo:Lot","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesRole → epo:AgentInRole","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesNoticeAwardInformation → epo:NoticeAwardInformation","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesProcedure → epo:Procedure","epo-not:announcesProcedure → epo:Procedure","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesLotGroup → epo:LotGroup","","3.1.0","4.0.0-rc.1"
"epo-not:DirectAwardPrenotificationNotice","epo:announcesAwardDecision → epo:AwardDecision","","3.1.0","4.0.0-rc.1"
"epo-not:PlanningNotice","epo:announcesPlannedProcurementPart → epo:PlannedProcurementPart","epo-not:announcesPlannedProcurementPart → epo:PlannedProcurementPart","3.1.0","4.0.0-rc.1"
"epo-not:PlanningNotice","epo:announcesRole → epo:AgentInRole","","3.1.0","4.0.0-rc.1"
"epo-not:PreMarketConsultationNotice","generalisation → epo:Notice","","3.1.0","4.0.0-rc.1"
