"class","added_attributes","deleted_attributes","reference_version","target_version"
"epo:ElementConfidentialityDescription","epo:hasPurpose → epo:Purpose","","3.1.0","4.0.0-rc.1"
"epo:ElementConfidentialityDescription","epo-ord:hasTaxInformation → epo-ord:TaxInformation","","3.1.0","4.0.0-rc.1"
"epo:DirectContract","epo:resultsFromLotAwardOutcome → epo:LotAwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:DirectContract","generalisation → epo:Document","","3.1.0","4.0.0-rc.1"
"epo:Document","epo:hasElectronicDigest → epo:Document","","3.1.0","4.0.0-rc.1"
"epo:Document","epo:hasElectronicSignature → epo:ElectronicSignature","","3.1.0","4.0.0-rc.1"
"epo:EconomicStandingSummary","generalisation → epo:SelectionCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:Estimate","generalisation → epo:ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"epo:ExclusionGroundsSummary","generalisation → epo:QualificationCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:ExclusionGround","","epo:specifiesExclusionGround → epo:Procedure","3.1.0","4.0.0-rc.1"
"epo:ExclusionGround","generalisation → epo:QualificationCriterion","generalisation → epo:ProcurementCriterion","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","","epo:hasOverallMaximumValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","epo:hasLaunchFrameworkAgreementMaximumValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","epo:hasLaunchGroupFrameworkAgreementMaximumValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreementTerm","generalisation → epo:ContractSpecificTerm","","3.1.0","4.0.0-rc.1"
"epo:FrameworkAgreement","epo:resultsFromLotAwardOutcome → epo:LotAwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:Fund","epo:hasFundProgramme → at-voc:EU-programme","","3.1.0","4.0.0-rc.1"
"epo:Fund","adms:identifier → adms:Identifier","epo:hasID → epo:Identifier","3.1.0","4.0.0-rc.1"
"epo:GreenProcurement","epo:fulfillsRequirement → at-voc:green-public-procurement-criteria","","3.1.0","4.0.0-rc.1"
"epo:JuryMember","epo:playedBy → foaf:Agent","","3.1.0","4.0.0-rc.1"
"epo:JuryMember","generalisation → epo:AcquiringParty","","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:comprisesTenderAwardOutcome → epo:TenderAwardOutcome","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:hasRestatedAwardedValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","","epo:isAdoptedByBuyer → epo:Buyer","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","epo:hasFrameworkAgreementMaximumValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","epo:hasApproximateFrameworkAgreementValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:LotAwardOutcome","generalisation → epo:AwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:LotGroupAwardInformation","epo:hasGroupFrameworkAgreementMaximumValue → epo:MonetaryValue","epo:hasGroupFrameworkAgreementAwardedValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotGroupAwardInformation","generalisation → epo:ContextSpecificDescription","generalisation → epo:ContextualProjection","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","epo:hasEstimatedValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:LotGroup","","epo:specifiesSelectionCriterion → epo:SelectionCriterion","3.1.0","4.0.0-rc.1"
"epo:LotGroup","epo:specifiesProcurementCriterion → epo:ProcurementCriterion","epo:specifiesAwardCriterion → epo:AwardCriterion","3.1.0","4.0.0-rc.1"
"epo:LotGroup","adms:identifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:Lot","","epo:specifiesSelectionCriterion → epo:SelectionCriterion","3.1.0","4.0.0-rc.1"
"epo:Lot","epo:specifiesProcurementCriterion → epo:ProcurementCriterion","epo:specifiesAwardCriterion → epo:AwardCriterion","3.1.0","4.0.0-rc.1"
"epo:Lot","","epo:hasRestatedEstimatedValue → epo:MonetaryValue","3.1.0","4.0.0-rc.1"
"epo:Lot","","epo:hasReservedProcurement → at-voc:reserved-procurement","3.1.0","4.0.0-rc.1"
"epo:Lot","","epo:hasPerformingStaffQualificationInformation → at-voc:requirement-stage","3.1.0","4.0.0-rc.1"
"epo:MiniCompetitionAwardOutcome","epo:resultsFromUsingCandidateList → epo:SelectedCandidateList","","3.1.0","4.0.0-rc.1"
"epo:MiniCompetitionAwardOutcome","generalisation → epo:AwardOutcome","","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","","epo:hasQualificationSystemPeriod → epo:Period","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","generalisation → epo:LotSpecificTerm","","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","epo:concernsNotice → epo:Notice","","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","epo:relatesToEFormSectionIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","generalisation → epo:ContextSpecificDescription","","3.1.0","4.0.0-rc.1"
"epo:MultipleStageProcedureTerm","epo:hasNonPublicationJustification → at-voc:non-publication-justification","","3.1.0","4.0.0-rc.1"
"epo:NoticeAwardInformation","epo:describesResultNotice → epo-not:DirectAwardPrenotificationNotice","","3.1.0","4.0.0-rc.1"
"epo:NoticeAwardInformation","epo:hasApproximateFrameworkAgreementValue → epo:MonetaryValue","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation (renamed from epo:NoticeChange)","","epo:hasElementChange → epo:ElementChangeDescription","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation (renamed from epo:NoticeChange)","generalisation → epo:ContextSpecificDescription","generalisation → epo:NoticeDescription","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation (renamed from epo:NoticeChange)","epo:concernsNotice → epo:Notice","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation (renamed from epo:NoticeChange)","epo:relatesToEFormSectionIdentifier → adms:Identifier","","3.1.0","4.0.0-rc.1"
"epo:NoticeChangeInformation (renamed from epo:NoticeChange)","epo:hasChangeJustification → at-voc:change-corrig-justification","","3.1.0","4.0.0-rc.1"
"epo:Notice","","epo:hasNotificationContentType → at-voc-new:notification-phases-content-types","3.1.0","4.0.0-rc.1"
"epo:Notice","epo:refersToLot → epo:Lot","","3.1.0","4.0.0-rc.1"
"epo:Notice","epo:conformsToSpecificLegalBasis → at-voc:legal-basis","","3.1.0","4.0.0-rc.1"
"epo:OfferIssuer","epo:distributesOffer → epo:Offer","","3.1.0","4.0.0-rc.1"
"epo:OfferIssuer","generalisation → epo:OfferingParty","","3.1.0","4.0.0-rc.1"
"epo:OfferingParty","","epo:playedByBusiness → epo:Business","3.1.0","4.0.0-rc.1"
"epo:Offer","generalisation → epo:Document","","3.1.0","4.0.0-rc.1"
"epo:OriginatorRequest","generalisation → epo:Document","","3.1.0","4.0.0-rc.1"
"epo:ParticipationConditionsSummary","generalisation → epo:ProcurementCriteriaSummary","","3.1.0","4.0.0-rc.1"
"epo:ParticipationConditionsSummary","epo:hasReservedProcurement → at-voc:reserved-procurement","","3.1.0","4.0.0-rc.1"
"epo:ParticipationCondition","generalisation → epo:ProcurementCriterion","","3.1.0","4.0.0-rc.1"
"epo:ParticipationCondition","epo:hasReservedProcurement → at-voc:reserved-procurement","","3.1.0","4.0.0-rc.1"
"epo:ParticipationRequestProcessor","","epo:dependsOnServiceProvider → epo:ProcurementServiceProvider","3.1.0","4.0.0-rc.1"
