"name","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#BuyerSideSignatory","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ContractSignatory","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ContractorSideSignatory","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#GroupLeader","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#InformationProvider","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#PrimaryRole","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#SecondaryRole","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#TertiaryRole","","3.0.1","3.1.0"
