"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#SubmissionTerm","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#Document","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#Estimate","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#SpecificDuration","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#Duration","","3.0.0","3.0.1"
"http://data.europa.eu/a4g/ontology#SpecificDuration","","http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf","","http://data.europa.eu/a4g/ontology#Duration","","3.0.0","3.0.1"
