"subject","comment","predicate","comment","object","comment","reference_version","target_version"
"http://data.europa.eu/a4g/ontology#Contract","","http://data.europa.eu/a4g/ontology#signedBySignatory","","http://data.europa.eu/a4g/ontology#ContractSignatory","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#ReviewDecision","","http://data.europa.eu/a4g/ontology#appliesRemedyType","","http://publications.europa.eu/resource/authority/review-remedy-type","","3.0.1","3.1.0"
"http://www.w3.org/ns/org#Organization","","","","http://www.w3.org/ns/locn#Address","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","http://data.europa.eu/a4g/ontology#concernsSubmissionsForLot","","http://data.europa.eu/a4g/ontology#Lot","","3.0.1","3.1.0"
"http://data.europa.eu/a4g/ontology#TenderAwardOutcome","","http://data.europa.eu/a4g/ontology#awardsLotToWinner","","http://data.europa.eu/a4g/ontology#Winner","","3.0.1","3.1.0"
