subject,subject_full,comment,predicate,predicate_full,commentpred,object,object_full,commentobj,reference_version,target_version
epo:Contract,http://data.europa.eu/a4g/ontology#Contract,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:ProcurementElement,http://data.europa.eu/a4g/ontology#ProcurementElement,,3.0.1,3.1.0
epo:ProcurementObject,http://data.europa.eu/a4g/ontology#ProcurementObject,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:ProcurementElement,http://data.europa.eu/a4g/ontology#ProcurementElement,,3.0.1,3.1.0
epo:ReviewObject,http://data.europa.eu/a4g/ontology#ReviewObject,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:ProcurementElement,http://data.europa.eu/a4g/ontology#ProcurementElement,,3.0.1,3.1.0
epo:Tender,http://data.europa.eu/a4g/ontology#Tender,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:ProcurementElement,http://data.europa.eu/a4g/ontology#ProcurementElement,,3.0.1,3.1.0
epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AgentInRole,http://data.europa.eu/a4g/ontology#AgentInRole,,3.0.1,3.1.0
epo:AuxiliaryParty,http://data.europa.eu/a4g/ontology#AuxiliaryParty,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AgentInRole,http://data.europa.eu/a4g/ontology#AgentInRole,,3.0.1,3.1.0
epo:Awarder,http://data.europa.eu/a4g/ontology#Awarder,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:BudgetProvider,http://data.europa.eu/a4g/ontology#BudgetProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:Buyer,http://data.europa.eu/a4g/ontology#Buyer,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:CatalogueReceiver,http://data.europa.eu/a4g/ontology#CatalogueReceiver,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:OfferingParty,http://data.europa.eu/a4g/ontology#OfferingParty,renamed from epo:EconomicOperator,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AgentInRole,http://data.europa.eu/a4g/ontology#AgentInRole,,3.0.1,3.1.0
epo:EmploymentInformationProvider,http://data.europa.eu/a4g/ontology#EmploymentInformationProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AuxiliaryParty,http://data.europa.eu/a4g/ontology#AuxiliaryParty,,3.0.1,3.1.0
epo:EnvironmentalProtectionInformationProvider,http://data.europa.eu/a4g/ontology#EnvironmentalProtectionInformationProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AuxiliaryParty,http://data.europa.eu/a4g/ontology#AuxiliaryParty,,3.0.1,3.1.0
epo:LeadBuyer,http://data.europa.eu/a4g/ontology#LeadBuyer,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:Buyer,http://data.europa.eu/a4g/ontology#Buyer,,3.0.1,3.1.0
epo:Mediator,http://data.europa.eu/a4g/ontology#Mediator,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:OfflineAccessProvider,http://data.europa.eu/a4g/ontology#OfflineAccessProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:OtherEntity,http://data.europa.eu/a4g/ontology#OtherEntity,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:OfferingParty,http://data.europa.eu/a4g/ontology#OfferingParty,,3.0.1,3.1.0
epo:ParticipationRequestProcessor,http://data.europa.eu/a4g/ontology#ParticipationRequestProcessor,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:ParticipationRequestReceiver,http://data.europa.eu/a4g/ontology#ParticipationRequestReceiver,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:PaymentExecutor,http://data.europa.eu/a4g/ontology#PaymentExecutor,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:ProcurementProcedureInformationProvider,http://data.europa.eu/a4g/ontology#ProcurementProcedureInformationProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:ProcurementServiceProvider,http://data.europa.eu/a4g/ontology#ProcurementServiceProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:ReviewProcedureInformationProvider,http://data.europa.eu/a4g/ontology#ReviewProcedureInformationProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:ReviewRequester,http://data.europa.eu/a4g/ontology#ReviewRequester,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:OfferingParty,http://data.europa.eu/a4g/ontology#OfferingParty,,3.0.1,3.1.0
epo:Reviewer,http://data.europa.eu/a4g/ontology#Reviewer,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:TaxInformationProvider,http://data.europa.eu/a4g/ontology#TaxInformationProvider,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AuxiliaryParty,http://data.europa.eu/a4g/ontology#AuxiliaryParty,,3.0.1,3.1.0
epo:TenderProcessor,http://data.europa.eu/a4g/ontology#TenderProcessor,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:TenderReceiver,http://data.europa.eu/a4g/ontology#TenderReceiver,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:AcquiringParty,http://data.europa.eu/a4g/ontology#AcquiringParty,,3.0.1,3.1.0
epo:AccessTerm,http://data.europa.eu/a4g/ontology#AccessTerm,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:ProcedureSpecificTerm,http://data.europa.eu/a4g/ontology#ProcedureSpecificTerm,,3.0.1,3.1.0
epo:ProcessPlanningTerm,http://data.europa.eu/a4g/ontology#ProcessPlanningTerm,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:Term,http://data.europa.eu/a4g/ontology#Term,,3.0.1,3.1.0
epo:ReviewTerm,http://data.europa.eu/a4g/ontology#ReviewTerm,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:LotSpecificTerm,http://data.europa.eu/a4g/ontology#LotSpecificTerm,,3.0.1,3.1.0
epo-cat:ChargeInformation,http://data.europa.eu/a4g/ontology#ChargeInformation,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo-ord:PriceModifierInformation,http://data.europa.eu/a4g/ontology#PriceModifierInformation,,3.0.1,3.1.0
epo-cat:Manufacturer,http://data.europa.eu/a4g/ontology#Manufacturer,,rdfs:subClassOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#subClassOf,,epo:OfferingParty,http://data.europa.eu/a4g/ontology#OfferingParty,,3.0.1,3.1.0
,,,,,,,,,,
