"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"epo:Contract","http://data.europa.eu/a4g/ontology#Contract","","epo:signedByContractor","http://data.europa.eu/a4g/ontology#signedByContractor","","epo:Contractor","http://data.europa.eu/a4g/ontology#Contractor","","3.0.1","3.1.0"
"epo:Contract","http://data.europa.eu/a4g/ontology#Contract","","epo:signedByBuyer","http://data.europa.eu/a4g/ontology#signedByBuyer","","epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:hasPurpose","http://data.europa.eu/a4g/ontology#hasPurpose","","epo:Purpose","http://data.europa.eu/a4g/ontology#Purpose","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:usesChannel","http://data.europa.eu/a4g/ontology#usesChannel","","cv:Channel","http://data.europa.eu/m8g/Channel","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:refersToPlannedPart","http://data.europa.eu/a4g/ontology#refersToPlannedPart","","epo:PlannedProcurementPart","http://data.europa.eu/a4g/ontology#PlannedProcurementPart","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:hasEstimatedValue","http://data.europa.eu/a4g/ontology#hasEstimatedValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:usesTechnique","http://data.europa.eu/a4g/ontology#usesTechnique","","epo:TechniqueUsage","http://data.europa.eu/a4g/ontology#TechniqueUsage","","3.0.1","3.1.0"
"epo:ProcurementObject","http://data.europa.eu/a4g/ontology#ProcurementObject","","epo:foreseesContractSpecificTerm","http://data.europa.eu/a4g/ontology#foreseesContractSpecificTerm","","epo:ContractSpecificTerm
","http://data.europa.eu/a4g/ontology#ContractSpecificTerm
","","3.0.1","3.1.0"
"epo:Purpose","http://data.europa.eu/a4g/ontology#Purpose","","epo:hasMainClassification","http://data.europa.eu/a4g/ontology#hasMainClassification","","at-voc:cpvsuppl","http://publications.europa.eu/resource/authority/cpvsuppl","","3.0.1","3.1.0"
"epo:Purpose","http://data.europa.eu/a4g/ontology#Purpose","","epo:hasAdditionalClassification","http://data.europa.eu/a4g/ontology#hasAdditionalClassification","","at-voc:cpvsuppl","http://publications.europa.eu/resource/authority/cpvsuppl","","3.0.1","3.1.0"
"epo:ReviewDecision","http://data.europa.eu/a4g/ontology#ReviewDecision","","epo:providesRulingOnRemedy","http://data.europa.eu/a4g/ontology#providesRulingOnRemedy","","at-voc:remedy-type","http://publications.europa.eu/resource/authority/remedy-type","","3.0.1","3.1.0"
"org:Organization","http://www.w3.org/ns/org#Organization","","cv:registeredAddress","http://data.europa.eu/m8g/registeredAddress","","locn:Address","http://www.w3.org/ns/locn#Address","","3.0.1","3.1.0"
"epo:ContractTerm","http://data.europa.eu/a4g/ontology#ContractTerm","","epo:hasContractNatureType","http://data.europa.eu/a4g/ontology#hasContractNatureType","","at-voc:contract-nature","http://publications.europa.eu/resource/authority/contract-nature","","3.0.1","3.1.0"
"epo:ContractTerm","http://data.europa.eu/a4g/ontology#ContractTerm","","epo:hasAdditionalContractNature","http://data.europa.eu/a4g/ontology#hasAdditionalContractNature","","at-voc:contract-nature
","http://publications.europa.eu/resource/authority/contract-nature
","","3.0.1","3.1.0"
"epo:ProcedureTerm","http://data.europa.eu/a4g/ontology#ProcedureTerm","","epo:definesInformationProvider","http://data.europa.eu/a4g/ontology#definesInformationProvider","","epo:AuxiliaryParty","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.0.1","3.1.0"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","epo:hasRestatedAwardedValue","http://data.europa.eu/a4g/ontology#hasRestatedAwardedValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.1","3.1.0"
"epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","epo:hasBargainPrice","http://data.europa.eu/a4g/ontology#hasBargainPrice","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.0.1","3.1.0"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:summarisesInformationForLotAwardOutcome","http://data.europa.eu/a4g/ontology#summarisesInformationForLotAwardOutcome","","epo:LotAwardOutcome","http://data.europa.eu/a4g/ontology#LotAwardOutcome","","3.0.1","3.1.0"
"epo:TenderAwardOutcome","http://data.europa.eu/a4g/ontology#TenderAwardOutcome","","epo:indicatesAwardOfLotToWinner","http://data.europa.eu/a4g/ontology#indicatesAwardOfLotToWinner","","epo:Winner","http://data.europa.eu/a4g/ontology#Winner","","3.0.1","3.1.0"
"owl:Thing","http://www.w3.org/2002/07/owl#Thing","","epo:containsModificationsOf","http://data.europa.eu/a4g/ontology#containsModificationsOf","","owl:Thing","http://www.w3.org/2002/07/owl#Thing","","3.0.1","3.1.0"
"epo-cat:Catalogue","http://data.europa.eu/a4g/ontology#Catalogue","","epo-cat:isReceivedByCatalogueReceiver","http://data.europa.eu/a4g/ontology#isReceivedByCatalogueReceiver","","epo:CatalogueReceiver","http://data.europa.eu/a4g/ontology#CatalogueReceiver","","3.0.1","3.1.0"
"epo-cat:Catalogue","http://data.europa.eu/a4g/ontology#Catalogue","","epo:specifiesSeller","http://data.europa.eu/a4g/ontology#specifiesSeller","","epo-ord:Seller","http://data.europa.eu/a4g/ontology#Seller","","3.0.1","3.1.0"
"epo-cat:Catalogue","http://data.europa.eu/a4g/ontology#Catalogue","","epo:isIntendedForBuyer","http://data.europa.eu/a4g/ontology#isIntendedForBuyer","","epo:Buyer","http://data.europa.eu/a4g/ontology#Buyer","","3.0.1","3.1.0"
"epo-cat:ChargeInformation","http://data.europa.eu/a4g/ontology#ChargeInformation","","epo-ord:isSpecificToOrderLine","http://data.europa.eu/a4g/ontology#isSpecificToOrderLine","","epo-ord:OrderLine","http://data.europa.eu/a4g/ontology#OrderLine","","3.0.1","3.1.0"
"epo-cat:Price","http://data.europa.eu/a4g/ontology#Price","","epo-cat:hasPriceType:","http://data.europa.eu/a4g/ontology#hasPriceType","","at-voc-new:price-type","http://publications.europa.eu/resource/authority/new/price-type","","3.0.1","3.1.0"
"epo-cat:ProductSpecification","http://data.europa.eu/a4g/ontology#ProductSpecification","","epo-cat:hasDocumentType","http://data.europa.eu/a4g/ontology#hasDocumentType","","at-voc-new:document-type","http://publications.europa.eu/resource/authority/new/document-type","","3.0.1","3.1.0"
"epo-cat:Item","http://data.europa.eu/a4g/ontology#Item","","epo:hasBuyerItemID","http://data.europa.eu/a4g/ontology#hasBuyerItemID","","epo:Identifier","http://data.europa.eu/a4g/ontology#Identifier","","3.0.1","3.1.0"
