"subject","subject_full","comment","predicate","predicate_full","commentpred","object","object_full","commentobj","reference_version","target_version"
"http://www.w3.org/ns/org#Organization","org:Organization","","org:subOrganizationOf","http://www.w3.org/ns/org#subOrganizationOf","","org:Organization","http://www.w3.org/ns/org#Organization","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#NoticeAwardInformation","epo:NoticeAwardInformation","","epo:describesDirectAwardPrenotificationNotice","http://data.europa.eu/a4g/ontology#describesDirectAwardPrenotificationNotice","","epo-not:DirectAwardPrenotificationNotice","http://data.europa.eu/a4g/ontology#DirectAwardPrenotificationNotice","","3.1.0","4.0.0-rc.1"
"http://creativecommons.org/ns#Evidence","cccev:Evidence","","epo:hasValidityPeriod","http://data.europa.eu/a4g/ontology#hasValidityPeriod","","epo:Period","http://data.europa.eu/a4g/ontology#Period","","3.1.0","4.0.0-rc.1"
"http://creativecommons.org/ns#Requirement","cccev:Requirement","","adms:identifier","http://www.w3.org/ns/adms#identifier","","adms:Identifier","http://www.w3.org/ns/adms#Identifier","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","epo:LotGroup","","epo:hasInternalIdentifier","http://data.europa.eu/a4g/ontology#hasInternalIdentifier","","adms:Identifier","http://www.w3.org/ns/adms#Identifier","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","epo:LotGroup","","epo:hasEstimatedValue","http://data.europa.eu/a4g/ontology#hasEstimatedValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#LotGroup","epo:LotGroup","","epo:hasLaunchFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#hasLaunchFrameworkAgreementMaximumValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ProcurementObject","epo:ProcurementObject","","epo:hasLaunchFrameworkAgreementMaximumValue","http://data.europa.eu/a4g/ontology#hasLaunchFrameworkAgreementMaximumValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#TenderGroup","epo:TenderGroup","","adms:identifier","http://www.w3.org/ns/adms#identifier","","adms:Identifier","http://www.w3.org/ns/adms#Identifier","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#JuryMember","epo:JuryMember","","epo:playedBy","http://data.europa.eu/a4g/ontology#playedBy","","cpv:Person","http://data.europa.eu/m8g/Person","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#SubmissionTerm","epo:SubmissionTerm","","epo:hasTenderValidityDuration","http://data.europa.eu/a4g/ontology#hasTenderValidityDuration","","epo:Duration","http://data.europa.eu/a4g/ontology#Duration","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#CatalogueLine","epo-cat:CatalogueLine","","epo-cat:hasActivityCode","http://data.europa.eu/a4g/ontology#hasActivityCode","","at-voc-new:activity-code","http://publications.europa.eu/resource/authority/new/activity-code","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#Catalogue","epo-cat:Catalogue","","epo-cat:hasActivityCode","http://data.europa.eu/a4g/ontology#hasActivityCode","","at-voc-new:activity-code","http://publications.europa.eu/resource/authority/new/activity-code","","3.1.0","4.0.0-rc.1"
"http://data.europa.eu/a4g/ontology#ContractAmendment","epo-con:ContractAmendment","","epo:updatesContractValue","http://data.europa.eu/a4g/ontology#updatesContractValue","","epo:MonetaryValue","http://data.europa.eu/a4g/ontology#MonetaryValue","","3.1.0","4.0.0-rc.1"
"http://creativecommons.org/ns#InformationConcept","cccev:InformationConcept","","adms:identifier","http://www.w3.org/ns/adms#identifier","","adms:Identifier","http://www.w3.org/ns/adms#Identifier","","3.1.0","4.0.0-rc.1"
