"name","name_full","comment","reference_version","target_version"
"epo:AcquiringParty","http://data.europa.eu/a4g/ontology#AcquiringParty","","3.0.1","3.1.0"
"epo:AuxiliaryParty","http://data.europa.eu/a4g/ontology#AuxiliaryParty","","3.0.1","3.1.0"
"epo:LeadBuyer","http://data.europa.eu/a4g/ontology#LeadBuyer","","3.0.1","3.1.0"
"epo:OtherEntity","http://data.europa.eu/a4g/ontology#OtherEntity","","3.0.1","3.1.0"
"epo:ProcurementElement","http://data.europa.eu/a4g/ontology#ProcurementElement","","3.0.1","3.1.0"
"owl:Thing","http://www.w3.org/2002/07/owl#Thing","","3.0.1","3.1.0"
