"name","name_full","comment","reference_version","target_version"
"epo:CompetitionTerminationInformation","http://data.europa.eu/a4g/ontology#CompetitionTerminationInformation","","3.0.0 beta","3.0.0"
"epo:RecurrenceInformation","http://data.europa.eu/a4g/ontology#RecurrenceInformation","","3.0.0 beta","3.0.0"
